Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL ESPACO LIVRE;33168431;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA JOAO SOBRAL BITTENCOURT, 27 PARQUE TAMANDARE. 28030-120 Campos dos Goytacazes - RJ.";(22) 27242644;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.76009;-41.3377
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFESSOR WALTER SIQUEIRA;33169110;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"WILSON AMARO DE FREITAS, SEM NUMERO JULIAO NOGUEIRA. 28053-626 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL VIRGILIO PAULA - JARDIM DE INFANCIA APRENDER BRINCANDO;33169233;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR FELIPE UEBE, 403 PARQUE CALIFORNIA. 28013-140 Campos dos Goytacazes - RJ.";(22) 27225978;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.76802;-41.31353
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL APRENDENDO COM CARINHO;33169276;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA JOAO FRANCA BARRETO, 104 PARQUE ELDORADO. 28090-120 Campos dos Goytacazes - RJ.";(22) 27335558;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.71641;-41.2999
ESCOLA PARALISADA;CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA CENSATEC;33169756;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"RUA SALVADOR CORREA, 139 CENTRO. 28035-310 Campos dos Goytacazes - RJ.";(22) 27262700;Privada;Não Informado;Não;;;;;-21.75509;-41.33117
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EXTERNATO AZEVEDO PINTO;33169926;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA OTILIA DE PAULA, 46/52 28140-000 Campos dos Goytacazes - RJ.";(22) 997787873;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-21.937735207639;-41.1376591219046
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL TOLEDO LTDA JARDIM DE INFANCIA PEDACINHO DE CEU;33170070;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PROFESSORA BLANDINA DE MELO, 339/341 PARQUE IMPERIAL. 28022-310 Campos dos Goytacazes - RJ.";(22) 27252184;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE RUI BARBOSA;33170223;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"ESTRADA RJ 158 CAMPOS SAO FIDELIS KM 53, 0 CAMPOS DOS GOYTACAZES. 28010-000 Campos dos Goytacazes - RJ.";;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE THEODORO SAMPAIO;33170231;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"ESTRADA DE SANTA ROSA, 0 CODIN. 28085-500 Campos dos Goytacazes - RJ.";;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM JOSE CANDIDO DE CARVALHO;33171319;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"RODOVIA ALAIR FERREIRA, 678 SATURNINO BRAGA. 28143-000 Campos dos Goytacazes - RJ.";(22) 999364192;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
